covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
age_num,0.01982237722418197,1.020020145125494,0.00105335679737791,0.017757835838450812,0.02188691860991313,1.017916443658197,1.0221281942579568,0.0,18.818293358456724,5.347958558282541e-79,260.0133312101752
Marital status at diagnosis_Married (including common law),-0.16896512984252857,0.8445383520579184,0.03536355935787294,-0.23827643254910394,-0.0996538271359532,0.7879848363271224,0.9051507024186052,0.0,-4.777944667069042,1.7709609634893305e-06,19.10703615757373
Marital status at diagnosis_Separated,0.18037084831770747,1.1976614315027707,0.1103563030742079,-0.03592353117472688,0.3966652278101418,0.9647140612136066,1.4868580879859936,0.0,1.63444083657296,0.1021663195063376,3.2910084239502373
Marital status at diagnosis_Single (never married),0.015595636651882622,1.0157178832710068,0.04230726889348473,-0.0673250866635992,0.09851635996736445,0.934891231259946,1.1035324580017112,0.0,0.368627828261548,0.7124051502100991,0.48923014869528725
Marital status at diagnosis_Unmarried or Domestic Partner,-0.09073999387760667,0.9132551319580801,0.16161015610689175,-0.40749007938301035,0.226010091627797,0.6653180517308562,1.2535883159610492,0.0,-0.5614745760012116,0.5744740573518714,0.799686351145442
Marital status at diagnosis_Widowed,0.06402768427981932,1.0661219131703266,0.04533115465607014,-0.02481974622369333,0.152875114783332,0.975485731168601,1.1651794561672648,0.0,1.4124432692174012,0.1578194836583297,2.6636527701311903
Grade Recode (thru 2017)_Poorly differentiated; Grade III,0.3077705248624981,1.3603887777143415,0.041696604254901216,0.22604668224527216,0.3894943674797241,1.253634186370798,1.4762341731352049,0.0,7.381189196631554,1.5688188113392692e-13,42.535386493770645
Grade Recode (thru 2017)_Undifferentiated; anaplastic; Grade IV,0.2796489644420954,1.3226654282380172,0.042915197516297514,0.1955367229207295,0.36376120596346134,1.2159634468315415,1.438730612844174,0.0,6.516315445965166,7.205536546902709e-11,33.69210318175305
Grade Recode (thru 2017)_Well differentiated; Grade I,-0.4763895973319268,0.6210214867958066,0.0725356080380021,-0.618556776683125,-0.3342224179807286,0.5387213720603066,0.7158945367010631,0.0,-6.5676653193882615,5.1110254874635334e-11,34.18759625802929
Histology_Group_Mucinous,0.7744549250248292,2.1694093141237967,0.07657316466244252,0.6243742801041867,0.9245355699454716,1.867077324422976,2.5206973008799114,0.0,10.113920829037937,4.792695487814222e-24,77.46543699854918
Histology_Group_Other,0.3104436052106937,1.3640300707882393,0.2088553262916447,-0.09890531230029131,0.7197925227216787,0.9058284747775635,2.054007006648202,0.0,1.4864050188367788,0.13717202310777743,2.8659418279496225
Histology_Group_Serous,0.3998454743870487,1.4915941903255523,0.05084494082815387,0.300191221567797,0.4994997272063004,1.3501169543743234,1.6478966665847035,0.0,7.864016908554374,3.7200730185921996e-15,47.93359048409353
T_stage_T3,0.977117389677021,2.656786712304732,0.03155582041897039,0.9152691181532254,1.0389656612008167,2.4974472698717607,2.8262921583291036,0.0,30.964727796765125,1.609631739004915e-210,696.9181692684922
N_stage_N1,0.09704543966754685,1.1019104429276287,0.024252904367576884,0.04951062058660198,0.14458025874849173,1.0507567518086438,1.1555544345948543,0.0,4.001394562759441,6.29702536506366e-05,13.954969995750373
SEER Combined Mets at DX-bone (2010+)_Yes,0.6339709958501047,1.8850813865379135,0.17036261886754958,0.30006639855778366,0.9678755931424259,1.349948439229711,2.632346340501249,0.0,3.7213034177585222,0.00019819712429258499,12.300776349411146
SEER Combined Mets at DX-liver (2010+)_Yes,0.22445200046958325,1.2516366319355556,0.049173529157226545,0.128073654328689,0.3208303466104775,1.1366367178284464,1.3782717325866196,0.0,4.564488339893696,5.007140281271101e-06,17.607581694437933
SEER Combined Mets at DX-lung (2010+)_Yes,0.4636773285881367,1.5899098692007099,0.05292919473385117,0.3599380131790813,0.567416643997192,1.4332405697802335,1.763704883521,0.0,8.76033219321943,1.9467580762656957e-18,58.83363209656832
